,Year,Trimester,Province,Mbps,date
0,2022,3,Buenos Aires,70.0,2022-07-01
1,2022,3,Ciudad de Buenos Aires,101.0,2022-07-01
2,2022,3,Catamarca,61.0,2022-07-01
3,2022,3,Chaco,53.0,2022-07-01
4,2022,3,Chubut,16.0,2022-07-01
5,2022,3,Córdoba,56.0,2022-07-01
6,2022,3,Corrientes,45.0,2022-07-01
7,2022,3,Entre Ríos,42.0,2022-07-01
8,2022,3,Formosa,30.0,2022-07-01
9,2022,3,Jujuy,32.0,2022-07-01
10,2022,3,La Pampa,18.0,2022-07-01
11,2022,3,La Rioja,44.0,2022-07-01
12,2022,3,Mendoza,34.0,2022-07-01
13,2022,3,Misiones,49.0,2022-07-01
14,2022,3,Neuquén,48.0,2022-07-01
15,2022,3,Río Negro,34.0,2022-07-01
16,2022,3,Salta,41.0,2022-07-01
17,2022,3,San Juan,16.0,2022-07-01
18,2022,3,San Luis,19.0,2022-07-01
19,2022,3,Santa Cruz,13.0,2022-07-01
20,2022,3,Santa Fe,45.0,2022-07-01
21,2022,3,Santiago del Estero,18.0,2022-07-01
22,2022,3,Tierra del Fuego,11.0,2022-07-01
23,2022,3,Tucumán,53.0,2022-07-01
24,2022,2,Buenos Aires,66.0,2022-04-01
25,2022,2,Ciudad de Buenos Aires,94.0,2022-04-01
26,2022,2,Catamarca,57.0,2022-04-01
27,2022,2,Chaco,51.0,2022-04-01
28,2022,2,Chubut,15.0,2022-04-01
29,2022,2,Córdoba,54.0,2022-04-01
30,2022,2,Corrientes,43.0,2022-04-01
31,2022,2,Entre Ríos,40.0,2022-04-01
32,2022,2,Formosa,28.0,2022-04-01
33,2022,2,Jujuy,29.0,2022-04-01
34,2022,2,La Pampa,16.0,2022-04-01
35,2022,2,La Rioja,43.0,2022-04-01
36,2022,2,Mendoza,30.0,2022-04-01
37,2022,2,Misiones,46.0,2022-04-01
38,2022,2,Neuquén,47.0,2022-04-01
39,2022,2,Río Negro,33.0,2022-04-01
40,2022,2,Salta,39.0,2022-04-01
41,2022,2,San Juan,14.0,2022-04-01
42,2022,2,San Luis,19.0,2022-04-01
43,2022,2,Santa Cruz,12.0,2022-04-01
44,2022,2,Santa Fe,42.0,2022-04-01
45,2022,2,Santiago del Estero,16.0,2022-04-01
46,2022,2,Tierra del Fuego,11.0,2022-04-01
47,2022,2,Tucumán,50.0,2022-04-01
48,2022,1,Buenos Aires,63.0,2022-01-01
49,2022,1,Ciudad de Buenos Aires,88.0,2022-01-01
50,2022,1,Catamarca,51.0,2022-01-01
51,2022,1,Chaco,46.0,2022-01-01
52,2022,1,Chubut,13.0,2022-01-01
53,2022,1,Córdoba,50.0,2022-01-01
54,2022,1,Corrientes,38.0,2022-01-01
55,2022,1,Entre Ríos,36.0,2022-01-01
56,2022,1,Formosa,30.0,2022-01-01
57,2022,1,Jujuy,28.0,2022-01-01
58,2022,1,La Pampa,15.0,2022-01-01
59,2022,1,La Rioja,41.0,2022-01-01
60,2022,1,Mendoza,26.0,2022-01-01
61,2022,1,Misiones,42.0,2022-01-01
62,2022,1,Neuquén,43.0,2022-01-01
63,2022,1,Río Negro,31.0,2022-01-01
64,2022,1,Salta,37.0,2022-01-01
65,2022,1,San Juan,12.0,2022-01-01
66,2022,1,San Luis,21.0,2022-01-01
67,2022,1,Santa Cruz,11.0,2022-01-01
68,2022,1,Santa Fe,39.0,2022-01-01
69,2022,1,Santiago del Estero,14.0,2022-01-01
70,2022,1,Tierra del Fuego,11.0,2022-01-01
71,2022,1,Tucumán,47.0,2022-01-01
72,2021,4,Buenos Aires,60.0,2021-10-01
73,2021,4,Ciudad de Buenos Aires,83.0,2021-10-01
74,2021,4,Catamarca,46.0,2021-10-01
75,2021,4,Chaco,42.0,2021-10-01
76,2021,4,Chubut,9.0,2021-10-01
77,2021,4,Córdoba,46.0,2021-10-01
78,2021,4,Corrientes,36.0,2021-10-01
79,2021,4,Entre Ríos,33.0,2021-10-01
80,2021,4,Formosa,29.0,2021-10-01
81,2021,4,Jujuy,27.0,2021-10-01
82,2021,4,La Pampa,14.0,2021-10-01
83,2021,4,La Rioja,40.0,2021-10-01
84,2021,4,Mendoza,22.0,2021-10-01
85,2021,4,Misiones,39.0,2021-10-01
86,2021,4,Neuquén,40.0,2021-10-01
87,2021,4,Río Negro,27.0,2021-10-01
88,2021,4,Salta,34.0,2021-10-01
89,2021,4,San Juan,11.0,2021-10-01
90,2021,4,San Luis,21.0,2021-10-01
91,2021,4,Santa Cruz,9.0,2021-10-01
92,2021,4,Santa Fe,36.0,2021-10-01
93,2021,4,Santiago del Estero,14.0,2021-10-01
94,2021,4,Tierra del Fuego,11.0,2021-10-01
95,2021,4,Tucumán,45.0,2021-10-01
96,2021,3,Buenos Aires,56.0,2021-07-01
97,2021,3,Ciudad de Buenos Aires,78.0,2021-07-01
98,2021,3,Catamarca,43.0,2021-07-01
99,2021,3,Chaco,39.0,2021-07-01
100,2021,3,Chubut,8.0,2021-07-01
101,2021,3,Córdoba,42.0,2021-07-01
102,2021,3,Corrientes,32.0,2021-07-01
103,2021,3,Entre Ríos,30.0,2021-07-01
104,2021,3,Formosa,27.0,2021-07-01
105,2021,3,Jujuy,26.0,2021-07-01
106,2021,3,La Pampa,13.0,2021-07-01
107,2021,3,La Rioja,39.0,2021-07-01
108,2021,3,Mendoza,13.0,2021-07-01
109,2021,3,Misiones,31.0,2021-07-01
110,2021,3,Neuquén,38.0,2021-07-01
111,2021,3,Río Negro,25.0,2021-07-01
112,2021,3,Salta,31.0,2021-07-01
113,2021,3,San Juan,7.0,2021-07-01
114,2021,3,San Luis,22.0,2021-07-01
115,2021,3,Santa Cruz,8.0,2021-07-01
116,2021,3,Santa Fe,33.0,2021-07-01
117,2021,3,Santiago del Estero,13.0,2021-07-01
118,2021,3,Tierra del Fuego,10.0,2021-07-01
119,2021,3,Tucumán,42.0,2021-07-01
120,2021,2,Buenos Aires,53.0,2021-04-01
121,2021,2,Ciudad de Buenos Aires,73.0,2021-04-01
122,2021,2,Catamarca,42.0,2021-04-01
123,2021,2,Chaco,37.0,2021-04-01
124,2021,2,Chubut,8.0,2021-04-01
125,2021,2,Córdoba,40.0,2021-04-01
126,2021,2,Corrientes,30.0,2021-04-01
127,2021,2,Entre Ríos,28.0,2021-04-01
128,2021,2,Formosa,24.0,2021-04-01
129,2021,2,Jujuy,26.0,2021-04-01
130,2021,2,La Pampa,12.0,2021-04-01
131,2021,2,La Rioja,39.0,2021-04-01
132,2021,2,Mendoza,13.0,2021-04-01
133,2021,2,Misiones,29.0,2021-04-01
134,2021,2,Neuquén,36.0,2021-04-01
135,2021,2,Río Negro,24.0,2021-04-01
136,2021,2,Salta,29.0,2021-04-01
137,2021,2,San Juan,7.0,2021-04-01
138,2021,2,San Luis,22.0,2021-04-01
139,2021,2,Santa Cruz,8.0,2021-04-01
140,2021,2,Santa Fe,31.0,2021-04-01
141,2021,2,Santiago del Estero,13.0,2021-04-01
142,2021,2,Tierra del Fuego,9.0,2021-04-01
143,2021,2,Tucumán,40.0,2021-04-01
144,2021,1,Buenos Aires,51.0,2021-01-01
145,2021,1,Ciudad de Buenos Aires,68.0,2021-01-01
146,2021,1,Catamarca,40.0,2021-01-01
147,2021,1,Chaco,34.0,2021-01-01
148,2021,1,Chubut,8.0,2021-01-01
149,2021,1,Córdoba,36.0,2021-01-01
150,2021,1,Corrientes,26.0,2021-01-01
151,2021,1,Entre Ríos,24.0,2021-01-01
152,2021,1,Formosa,21.0,2021-01-01
153,2021,1,Jujuy,27.0,2021-01-01
154,2021,1,La Pampa,11.0,2021-01-01
155,2021,1,La Rioja,13.0,2021-01-01
156,2021,1,Mendoza,13.0,2021-01-01
157,2021,1,Misiones,25.0,2021-01-01
158,2021,1,Neuquén,34.0,2021-01-01
159,2021,1,Río Negro,22.0,2021-01-01
160,2021,1,Salta,27.0,2021-01-01
161,2021,1,San Juan,7.0,2021-01-01
162,2021,1,San Luis,22.0,2021-01-01
163,2021,1,Santa Cruz,8.0,2021-01-01
164,2021,1,Santa Fe,28.0,2021-01-01
165,2021,1,Santiago del Estero,12.0,2021-01-01
166,2021,1,Tierra del Fuego,9.0,2021-01-01
167,2021,1,Tucumán,38.0,2021-01-01
168,2020,4,Buenos Aires,50.0,2020-10-01
169,2020,4,Ciudad de Buenos Aires,67.0,2020-10-01
170,2020,4,Catamarca,38.0,2020-10-01
171,2020,4,Chaco,32.0,2020-10-01
172,2020,4,Chubut,7.0,2020-10-01
173,2020,4,Córdoba,35.0,2020-10-01
174,2020,4,Corrientes,25.0,2020-10-01
175,2020,4,Entre Ríos,24.0,2020-10-01
176,2020,4,Formosa,20.0,2020-10-01
177,2020,4,Jujuy,25.0,2020-10-01
178,2020,4,La Pampa,10.0,2020-10-01
179,2020,4,La Rioja,13.0,2020-10-01
180,2020,4,Mendoza,11.0,2020-10-01
181,2020,4,Misiones,25.0,2020-10-01
182,2020,4,Neuquén,34.0,2020-10-01
183,2020,4,Río Negro,22.0,2020-10-01
184,2020,4,Salta,25.0,2020-10-01
185,2020,4,San Juan,6.0,2020-10-01
186,2020,4,San Luis,21.0,2020-10-01
187,2020,4,Santa Cruz,7.0,2020-10-01
188,2020,4,Santa Fe,27.0,2020-10-01
189,2020,4,Santiago del Estero,11.0,2020-10-01
190,2020,4,Tierra del Fuego,8.0,2020-10-01
191,2020,4,Tucumán,36.0,2020-10-01
192,2020,3,Buenos Aires,48.0,2020-07-01
193,2020,3,Ciudad de Buenos Aires,64.0,2020-07-01
194,2020,3,Catamarca,37.0,2020-07-01
195,2020,3,Chaco,31.0,2020-07-01
196,2020,3,Chubut,7.0,2020-07-01
197,2020,3,Córdoba,34.0,2020-07-01
198,2020,3,Corrientes,24.0,2020-07-01
199,2020,3,Entre Ríos,22.0,2020-07-01
200,2020,3,Formosa,18.0,2020-07-01
201,2020,3,Jujuy,22.0,2020-07-01
202,2020,3,La Pampa,11.0,2020-07-01
203,2020,3,La Rioja,12.0,2020-07-01
204,2020,3,Mendoza,10.0,2020-07-01
205,2020,3,Misiones,24.0,2020-07-01
206,2020,3,Neuquén,31.0,2020-07-01
207,2020,3,Río Negro,21.0,2020-07-01
208,2020,3,Salta,25.0,2020-07-01
209,2020,3,San Juan,6.0,2020-07-01
210,2020,3,San Luis,21.0,2020-07-01
211,2020,3,Santa Cruz,7.0,2020-07-01
212,2020,3,Santa Fe,26.0,2020-07-01
213,2020,3,Santiago del Estero,11.0,2020-07-01
214,2020,3,Tierra del Fuego,9.0,2020-07-01
215,2020,3,Tucumán,35.0,2020-07-01
216,2020,2,Buenos Aires,46.0,2020-04-01
217,2020,2,Ciudad de Buenos Aires,60.0,2020-04-01
218,2020,2,Catamarca,35.0,2020-04-01
219,2020,2,Chaco,28.0,2020-04-01
220,2020,2,Chubut,8.0,2020-04-01
221,2020,2,Córdoba,31.0,2020-04-01
222,2020,2,Corrientes,22.0,2020-04-01
223,2020,2,Entre Ríos,20.0,2020-04-01
224,2020,2,Formosa,17.0,2020-04-01
225,2020,2,Jujuy,16.0,2020-04-01
226,2020,2,La Pampa,8.0,2020-04-01
227,2020,2,La Rioja,12.0,2020-04-01
228,2020,2,Mendoza,9.0,2020-04-01
229,2020,2,Misiones,23.0,2020-04-01
230,2020,2,Neuquén,29.0,2020-04-01
231,2020,2,Río Negro,20.0,2020-04-01
232,2020,2,Salta,23.0,2020-04-01
233,2020,2,San Juan,6.0,2020-04-01
234,2020,2,San Luis,21.0,2020-04-01
235,2020,2,Santa Cruz,7.0,2020-04-01
236,2020,2,Santa Fe,24.0,2020-04-01
237,2020,2,Santiago del Estero,10.0,2020-04-01
238,2020,2,Tierra del Fuego,8.0,2020-04-01
239,2020,2,Tucumán,33.0,2020-04-01
240,2020,1,Buenos Aires,45.0,2020-01-01
241,2020,1,Ciudad de Buenos Aires,59.0,2020-01-01
242,2020,1,Catamarca,29.0,2020-01-01
243,2020,1,Chaco,26.0,2020-01-01
244,2020,1,Chubut,7.0,2020-01-01
245,2020,1,Córdoba,29.0,2020-01-01
246,2020,1,Corrientes,21.0,2020-01-01
247,2020,1,Entre Ríos,19.0,2020-01-01
248,2020,1,Formosa,16.0,2020-01-01
249,2020,1,Jujuy,14.0,2020-01-01
250,2020,1,La Pampa,7.0,2020-01-01
251,2020,1,La Rioja,8.0,2020-01-01
252,2020,1,Mendoza,8.0,2020-01-01
253,2020,1,Misiones,22.0,2020-01-01
254,2020,1,Neuquén,28.0,2020-01-01
255,2020,1,Río Negro,19.0,2020-01-01
256,2020,1,Salta,21.0,2020-01-01
257,2020,1,San Juan,6.0,2020-01-01
258,2020,1,San Luis,21.0,2020-01-01
259,2020,1,Santa Cruz,6.0,2020-01-01
260,2020,1,Santa Fe,22.0,2020-01-01
261,2020,1,Santiago del Estero,10.0,2020-01-01
262,2020,1,Tierra del Fuego,7.0,2020-01-01
263,2020,1,Tucumán,32.0,2020-01-01
264,2019,4,Buenos Aires,31.0,2019-10-01
265,2019,4,Ciudad de Buenos Aires,44.0,2019-10-01
266,2019,4,Catamarca,25.0,2019-10-01
267,2019,4,Chaco,23.0,2019-10-01
268,2019,4,Chubut,7.0,2019-10-01
269,2019,4,Córdoba,26.0,2019-10-01
270,2019,4,Corrientes,19.0,2019-10-01
271,2019,4,Entre Ríos,17.0,2019-10-01
272,2019,4,Formosa,15.0,2019-10-01
273,2019,4,Jujuy,13.0,2019-10-01
274,2019,4,La Pampa,7.0,2019-10-01
275,2019,4,La Rioja,8.0,2019-10-01
276,2019,4,Mendoza,8.0,2019-10-01
277,2019,4,Misiones,20.0,2019-10-01
278,2019,4,Neuquén,26.0,2019-10-01
279,2019,4,Río Negro,17.0,2019-10-01
280,2019,4,Salta,19.0,2019-10-01
281,2019,4,San Juan,6.0,2019-10-01
282,2019,4,San Luis,21.0,2019-10-01
283,2019,4,Santa Cruz,5.0,2019-10-01
284,2019,4,Santa Fe,21.0,2019-10-01
285,2019,4,Santiago del Estero,10.0,2019-10-01
286,2019,4,Tierra del Fuego,7.0,2019-10-01
287,2019,4,Tucumán,30.0,2019-10-01
288,2019,3,Buenos Aires,26.0,2019-07-01
289,2019,3,Ciudad de Buenos Aires,39.0,2019-07-01
290,2019,3,Catamarca,9.0,2019-07-01
291,2019,3,Chaco,20.0,2019-07-01
292,2019,3,Chubut,7.0,2019-07-01
293,2019,3,Córdoba,23.0,2019-07-01
294,2019,3,Corrientes,17.0,2019-07-01
295,2019,3,Entre Ríos,15.0,2019-07-01
296,2019,3,Formosa,13.0,2019-07-01
297,2019,3,Jujuy,12.0,2019-07-01
298,2019,3,La Pampa,6.0,2019-07-01
299,2019,3,La Rioja,8.0,2019-07-01
300,2019,3,Mendoza,6.0,2019-07-01
301,2019,3,Misiones,18.0,2019-07-01
302,2019,3,Neuquén,24.0,2019-07-01
303,2019,3,Río Negro,16.0,2019-07-01
304,2019,3,Salta,15.0,2019-07-01
305,2019,3,San Juan,6.0,2019-07-01
306,2019,3,San Luis,20.0,2019-07-01
307,2019,3,Santa Cruz,5.0,2019-07-01
308,2019,3,Santa Fe,18.0,2019-07-01
309,2019,3,Santiago del Estero,9.0,2019-07-01
310,2019,3,Tierra del Fuego,7.0,2019-07-01
311,2019,3,Tucumán,19.0,2019-07-01
312,2019,2,Buenos Aires,22.0,2019-04-01
313,2019,2,Ciudad de Buenos Aires,30.0,2019-04-01
314,2019,2,Catamarca,9.0,2019-04-01
315,2019,2,Chaco,16.0,2019-04-01
316,2019,2,Chubut,6.0,2019-04-01
317,2019,2,Córdoba,18.0,2019-04-01
318,2019,2,Corrientes,14.0,2019-04-01
319,2019,2,Entre Ríos,12.0,2019-04-01
320,2019,2,Formosa,11.0,2019-04-01
321,2019,2,Jujuy,12.0,2019-04-01
322,2019,2,La Pampa,5.0,2019-04-01
323,2019,2,La Rioja,8.0,2019-04-01
324,2019,2,Mendoza,6.0,2019-04-01
325,2019,2,Misiones,14.0,2019-04-01
326,2019,2,Neuquén,17.0,2019-04-01
327,2019,2,Río Negro,12.0,2019-04-01
328,2019,2,Salta,13.0,2019-04-01
329,2019,2,San Juan,6.0,2019-04-01
330,2019,2,San Luis,20.0,2019-04-01
331,2019,2,Santa Cruz,6.0,2019-04-01
332,2019,2,Santa Fe,15.0,2019-04-01
333,2019,2,Santiago del Estero,7.0,2019-04-01
334,2019,2,Tierra del Fuego,6.0,2019-04-01
335,2019,2,Tucumán,19.0,2019-04-01
336,2019,1,Buenos Aires,20.0,2019-01-01
337,2019,1,Ciudad de Buenos Aires,25.0,2019-01-01
338,2019,1,Catamarca,8.0,2019-01-01
339,2019,1,Chaco,13.0,2019-01-01
340,2019,1,Chubut,6.0,2019-01-01
341,2019,1,Córdoba,16.0,2019-01-01
342,2019,1,Corrientes,12.0,2019-01-01
343,2019,1,Entre Ríos,11.0,2019-01-01
344,2019,1,Formosa,10.0,2019-01-01
345,2019,1,Jujuy,9.0,2019-01-01
346,2019,1,La Pampa,5.0,2019-01-01
347,2019,1,La Rioja,7.0,2019-01-01
348,2019,1,Mendoza,6.0,2019-01-01
349,2019,1,Misiones,13.0,2019-01-01
350,2019,1,Neuquén,16.0,2019-01-01
351,2019,1,Río Negro,10.0,2019-01-01
352,2019,1,Salta,10.0,2019-01-01
353,2019,1,San Juan,6.0,2019-01-01
354,2019,1,San Luis,9.0,2019-01-01
355,2019,1,Santa Cruz,6.0,2019-01-01
356,2019,1,Santa Fe,13.0,2019-01-01
357,2019,1,Santiago del Estero,6.0,2019-01-01
358,2019,1,Tierra del Fuego,6.0,2019-01-01
359,2019,1,Tucumán,17.0,2019-01-01
360,2018,4,Buenos Aires,17.0,2018-10-01
361,2018,4,Ciudad de Buenos Aires,23.0,2018-10-01
362,2018,4,Catamarca,8.0,2018-10-01
363,2018,4,Chaco,13.0,2018-10-01
364,2018,4,Chubut,6.0,2018-10-01
365,2018,4,Córdoba,16.0,2018-10-01
366,2018,4,Corrientes,12.0,2018-10-01
367,2018,4,Entre Ríos,11.0,2018-10-01
368,2018,4,Formosa,10.0,2018-10-01
369,2018,4,Jujuy,9.0,2018-10-01
370,2018,4,La Pampa,4.0,2018-10-01
371,2018,4,La Rioja,7.0,2018-10-01
372,2018,4,Mendoza,6.0,2018-10-01
373,2018,4,Misiones,12.0,2018-10-01
374,2018,4,Neuquén,16.0,2018-10-01
375,2018,4,Río Negro,10.0,2018-10-01
376,2018,4,Salta,10.0,2018-10-01
377,2018,4,San Juan,6.0,2018-10-01
378,2018,4,San Luis,9.0,2018-10-01
379,2018,4,Santa Cruz,5.0,2018-10-01
380,2018,4,Santa Fe,13.0,2018-10-01
381,2018,4,Santiago del Estero,6.0,2018-10-01
382,2018,4,Tierra del Fuego,7.0,2018-10-01
383,2018,4,Tucumán,17.0,2018-10-01
384,2018,3,Buenos Aires,17.0,2018-07-01
385,2018,3,Ciudad de Buenos Aires,22.0,2018-07-01
386,2018,3,Catamarca,8.0,2018-07-01
387,2018,3,Chaco,13.0,2018-07-01
388,2018,3,Chubut,6.0,2018-07-01
389,2018,3,Córdoba,15.0,2018-07-01
390,2018,3,Corrientes,11.0,2018-07-01
391,2018,3,Entre Ríos,11.0,2018-07-01
392,2018,3,Formosa,9.0,2018-07-01
393,2018,3,Jujuy,8.0,2018-07-01
394,2018,3,La Pampa,4.0,2018-07-01
395,2018,3,La Rioja,6.0,2018-07-01
396,2018,3,Mendoza,6.0,2018-07-01
397,2018,3,Misiones,12.0,2018-07-01
398,2018,3,Neuquén,15.0,2018-07-01
399,2018,3,Río Negro,10.0,2018-07-01
400,2018,3,Salta,9.0,2018-07-01
401,2018,3,San Juan,6.0,2018-07-01
402,2018,3,San Luis,9.0,2018-07-01
403,2018,3,Santa Cruz,5.0,2018-07-01
404,2018,3,Santa Fe,12.0,2018-07-01
405,2018,3,Santiago del Estero,6.0,2018-07-01
406,2018,3,Tierra del Fuego,6.0,2018-07-01
407,2018,3,Tucumán,15.0,2018-07-01
408,2018,2,Buenos Aires,15.0,2018-04-01
409,2018,2,Ciudad de Buenos Aires,19.0,2018-04-01
410,2018,2,Catamarca,8.0,2018-04-01
411,2018,2,Chaco,12.0,2018-04-01
412,2018,2,Chubut,5.0,2018-04-01
413,2018,2,Córdoba,14.0,2018-04-01
414,2018,2,Corrientes,11.0,2018-04-01
415,2018,2,Entre Ríos,10.0,2018-04-01
